City_ID,City,Country,Datetime,Lat,Lng,Temperature,Humidity,Cloud Coverage,Wind Speed
195,san patricio,TC,2020-04-15 04:30:16,21.46,-71.14,78.39,82.0,1.0,17.9
196,torbay,FO,2020-04-15 04:33:12,62.23,-6.59,44.6,100.0,93.0,9.17
197,fougamou,CD,2020-04-15 04:33:12,-6.42,20.8,75.04,79.0,96.0,1.66
198,vestmannaeyjar,NO,2020-04-15 04:33:12,71.0,24.66,32.0,94.0,75.0,23.04
199,tumannyy,GL,2020-04-15 04:33:12,69.22,-51.1,24.8,79.0,93.0,6.93
200,bururi,RU,2020-04-15 04:33:12,59.38,143.3,33.71,82.0,0.0,4.03
201,te anau,CA,2020-04-15 04:33:12,48.65,-53.11,39.0,82.0,74.0,8.01
202,maragogi,VE,2020-04-15 04:33:12,7.77,-72.22,66.81,58.0,30.0,1.7
203,ancud,FI,2020-04-15 04:33:12,60.8,21.41,33.8,81.0,90.0,5.82
204,tawkar,RU,2020-04-15 04:33:13,46.54,138.33,39.15,74.0,33.0,4.34
205,bloomfield,MX,2020-04-15 04:33:13,16.88,-92.15,63.27,51.0,94.0,0.76
206,rio gallegos,ML,2020-04-15 04:33:13,20.2,1.01,76.44,34.0,99.0,19.42
207,ashitkovo,US,2020-04-15 04:32:00,43.31,-73.64,41.0,51.0,90.0,4.74
208,khatanga,RU,2020-04-15 04:33:13,59.57,150.8,28.81,93.0,90.0,4.32
209,camacupa,NZ,2020-04-15 04:33:14,-41.41,175.52,55.99,50.0,58.0,8.05
210,zaltan,PR,2020-04-15 04:33:14,18.43,-65.83,78.8,83.0,40.0,5.82
211,gbarnga,AR,2020-04-15 04:33:14,-28.47,-65.79,46.99,87.0,0.0,4.0
212,alofi,CN,2020-04-15 04:33:14,44.3,86.03,67.86,37.0,96.0,7.05
213,husavik,RU,2020-04-15 04:33:14,64.38,-173.3,32.0,97.0,90.0,6.71
214,dikson,KE,2020-04-15 04:33:14,3.94,41.87,71.01,22.0,100.0,1.01
215,porbandar,CN,2020-04-15 04:33:14,41.76,86.15,75.49,14.0,89.0,11.95
216,york,NO,2020-04-15 04:33:15,70.86,29.09,37.22,83.0,73.0,18.86
217,deputatskiy,NG,2020-04-15 04:33:15,12.87,11.05,77.0,15.0,0.0,9.13
218,baruun-urt,US,2020-04-15 04:33:15,40.6,-124.16,53.01,71.0,1.0,8.05
219,victoria,BR,2020-04-15 04:33:15,-2.92,-39.92,74.48,87.0,90.0,3.49
220,cockburn town,GN,2020-04-15 04:33:16,11.32,-12.28,66.81,64.0,99.0,0.36
221,klaksvik,CO,2020-04-15 04:33:16,4.35,-72.46,80.82,56.0,32.0,2.35
222,tshikapa,US,2020-04-15 04:23:16,64.5,-165.41,33.8,97.0,90.0,9.17
223,havoysund,EC,2020-04-15 04:33:16,-2.23,-80.9,75.02,85.0,87.0,2.44
224,ilulissat,MR,2020-04-15 04:33:16,20.93,-17.03,62.6,88.0,0.0,9.17
225,okhotsk,BR,2020-04-15 04:33:16,-15.97,-54.97,71.01,84.0,100.0,3.98
226,bonavista,RU,2020-04-15 04:33:17,61.36,63.58,38.3,93.0,100.0,2.59
227,san cristobal,LR,2020-04-15 04:33:17,4.38,-7.72,79.48,84.0,51.0,2.59
228,uusikaupunki,RU,2020-04-15 04:33:17,64.75,177.48,15.8,85.0,75.0,8.95
229,svetlaya,BR,2020-04-15 04:33:17,-5.2,-35.46,78.8,94.0,75.0,2.24
230,altamirano,AR,2020-04-15 04:33:18,-43.25,-65.31,57.47,68.0,92.0,17.92
231,ngukurr,AU,2020-04-15 04:33:18,-20.32,118.57,96.8,39.0,83.0,9.17
232,illoqqortoormiut,US,2020-04-15 04:33:18,38.89,-76.51,46.4,87.0,90.0,10.29
233,tessalit,PE,2020-04-15 04:33:18,-11.95,-75.28,47.66,25.0,55.0,1.9
234,glens falls,RU,2020-04-15 04:33:18,50.46,40.11,38.44,89.0,100.0,18.54
235,magadan,CZ,2020-04-15 04:33:19,49.63,14.05,34.0,68.0,5.0,8.05
236,waipawa,DZ,2020-04-15 04:33:19,36.37,6.61,48.2,93.0,20.0,2.24
237,vieques,PH,2020-04-15 04:33:19,14.28,122.79,83.05,75.0,7.0,6.55
238,toliary,IN,2020-04-15 04:33:19,11.67,92.75,83.91,72.0,94.0,5.79
239,catamarca,TO,2020-04-15 04:33:19,-19.8,-174.35,80.6,78.0,75.0,9.17
240,shihezi,NE,2020-04-15 04:33:20,18.69,12.92,81.18,13.0,0.0,5.7
241,provideniya,RU,2020-04-15 04:33:20,51.38,58.98,44.6,46.0,93.0,20.13
242,mandera,MY,2020-04-15 04:33:20,5.41,100.34,91.4,66.0,20.0,5.82
243,korla,MG,2020-04-15 04:33:20,-14.27,50.17,82.44,67.0,31.0,9.46
244,berlevag,IN,2020-04-15 04:33:20,26.91,70.92,97.38,17.0,27.0,13.44
245,gashua,AO,2020-04-15 04:33:20,-9.54,16.34,67.15,70.0,100.0,2.75
246,fortuna,RU,2020-04-15 04:33:20,50.37,119.1,57.51,24.0,68.0,12.55
247,warqla,CA,2020-04-15 04:33:20,65.28,-126.83,33.8,64.0,20.0,3.36
248,itarema,UA,2020-04-15 04:33:21,49.9,24.31,30.2,80.0,25.0,6.71
249,vaitupu,PT,2020-04-15 04:33:21,39.05,-27.98,55.78,70.0,35.0,24.81
250,babanusah,RU,2020-04-15 04:33:21,61.95,159.23,22.14,92.0,12.0,2.39
251,labe,GH,2020-04-15 04:33:21,4.87,-2.24,80.89,84.0,56.0,5.08
252,tibacuy,AU,2020-04-15 04:33:21,-37.83,140.77,78.8,22.0,100.0,17.22
253,nome,CL,2020-04-15 04:33:21,-33.73,-70.75,59.0,51.0,46.0,6.93
254,la libertad,CN,2020-04-15 04:33:22,36.62,101.77,70.92,8.0,7.0,7.63
255,nouadhibou,AU,2020-04-15 04:33:22,-28.77,114.6,77.0,41.0,38.0,18.34
256,jaciara,LK,2020-04-15 04:33:22,6.83,80.99,86.0,84.0,20.0,5.82
257,sovetskiy,AU,2020-04-15 04:29:02,-42.88,147.33,61.0,93.0,90.0,8.05
258,harper,RU,2020-04-15 04:33:22,52.78,126.53,53.49,33.0,0.0,4.72
259,anadyr,NZ,2020-04-15 04:33:22,-40.85,172.8,55.99,77.0,82.0,3.0
260,touros,US,2020-04-15 04:31:28,33.69,-78.89,70.0,94.0,20.0,8.05
261,phan rang,ID,2020-04-15 04:33:23,-8.19,114.97,87.8,74.0,20.0,5.82
262,trelew,CL,2020-04-15 04:33:23,-25.4,-70.48,60.17,75.0,30.0,0.98
263,port hedland,OM,2020-04-15 04:33:23,22.57,59.53,90.59,29.0,53.0,4.9
264,mayo,BR,2020-04-15 04:29:56,-7.02,-37.28,73.26,74.0,91.0,3.04
265,san jeronimo,RU,2020-04-15 04:33:23,70.63,147.92,-1.16,90.0,1.0,8.81
266,pavlovsk,ZM,2020-04-15 04:33:23,-13.47,25.0,66.4,63.0,70.0,3.24
267,milin,ID,2020-04-15 04:31:13,5.56,95.32,88.43,63.0,26.0,7.0
268,constantine,AU,2020-04-15 04:30:39,-35.12,139.27,86.0,19.0,100.0,11.79
269,paracale,IN,2020-04-15 04:33:24,29.68,73.62,97.3,10.0,86.0,4.25
270,port blair,GW,2020-04-15 04:33:24,11.28,-15.83,79.05,60.0,84.0,9.1
271,pangai,US,2020-04-15 04:33:24,42.16,-72.33,48.99,56.0,90.0,5.82
272,bilma,PT,2020-04-15 04:33:24,32.67,-17.1,57.99,58.0,20.0,3.36
273,novoorsk,CL,2020-04-15 04:33:25,-33.04,-71.63,51.8,93.0,29.0,6.93
274,george town,PL,2020-04-15 04:33:25,53.65,22.46,37.83,74.0,95.0,16.75
275,sambava,JP,2020-04-15 04:33:25,24.8,125.28,73.4,53.0,75.0,8.05
276,jaisalmer,CN,2020-04-15 04:33:19,30.42,103.46,75.2,41.0,40.0,2.24
277,malanje,RU,2020-04-15 04:32:06,65.85,74.49,30.43,98.0,93.0,12.26
278,priargunsk,NO,2020-04-15 04:33:26,66.87,13.71,37.99,78.0,20.0,19.46
279,norman wells,AU,2020-04-15 04:33:26,-33.87,121.9,69.8,49.0,90.0,23.04
280,novyy yarychiv,RU,2020-04-15 04:33:26,58.38,97.45,55.17,52.0,12.0,4.99
281,haibowan,NP,2020-04-15 04:33:26,29.27,82.18,65.23,20.0,59.0,4.03
282,lagoa,IT,2020-04-15 04:33:26,45.17,10.78,46.4,63.0,13.0,2.24
283,evensk,CG,2020-04-15 04:33:26,-4.76,11.86,79.12,90.0,100.0,5.03
284,axim,GH,2020-04-15 04:33:26,5.79,0.9,82.4,88.0,20.0,8.05
285,mount gambier,US,2020-04-15 04:33:27,55.34,-131.65,48.2,87.0,90.0,11.41
286,buin,BR,2020-04-15 04:33:27,1.0,-52.0,67.6,92.0,91.0,1.07
